,Cliente,Sexo,Idade,Empresa,Salario,Saldo_cc,Saldo_poupança,Saldo_investimento,Devedor_cartao,Inadimplente
35362,35362,M,35,Pública,6020.0,1180.22,0.0,0.0,5786.13,0
11418,11418,M,30,Pública,5372.0,919.49,15644.41,498.91,0.0,0
29009,29009,M,31,Privada,5706.0,839.31,0.0,0.0,823.6,0
96366,96366,F,28,Privada,4924.5,765.25,0.0,0.0,6404.35,1
47320,47320,F,34,Privada,5709.0,777.49,0.0,0.0,6285.65,0
43344,43344,M,32,Privada,5501.0,591.27,0.0,0.0,1029.05,0
197,197,M,28,Autônomo,4985.26,316.76,0.0,0.0,1242.17,1
15989,15989,M,30,Autônomo,5126.0,494.46,0.0,0.0,0.0,0
18211,18211,F,28,Autônomo,4856.0,479.08,0.0,0.0,1285.85,0
95485,95485,F,31,Privada,5356.0,1030.79,0.0,0.0,3989.37,0
4447,4447,M,34,Privada,5518.0,945.45,0.0,0.0,2226.52,0
59687,59687,M,30,Autônomo,5193.0,363.26,0.0,0.0,4831.77,0
91545,91545,F,27,Autônomo,5037.0,987.63,0.0,0.0,2062.32,0
12668,12668,M,27,Pública,5325.0,1030.64,0.0,0.0,932.29,0
10237,10237,M,31,Privada,5763.0,996.83,17582.73,9780.68,0.0,0
939,939,F,27,Autônomo,4778.0,308.88,0.0,0.0,3873.14,0
24622,24622,M,33,Privada,5757.0,894.43,0.0,0.0,1338.46,0
95314,95314,M,35,Privada,5932.0,976.27,0.0,0.0,3993.1,0
2635,2635,M,34,Privada,5612.46,501.61,0.0,0.0,6012.85,1
84161,84161,M,38,Privada,6093.0,1179.96,0.0,0.0,4184.8,0
65510,65510,F,28,Pública,5207.0,701.62,0.0,0.0,4182.27,0
73820,73820,M,33,Autônomo,5453.7,261.88,0.0,0.0,3471.26,1
75063,75063,M,36,Privada,5922.0,1172.76,0.0,0.0,6442.08,0
71372,71372,M,34,Privada,5657.0,624.79,0.0,0.0,800.75,0
30068,30068,F,28,Privada,4995.06,555.46,0.0,0.0,4861.88,1
7089,7089,M,32,Privada,5593.0,580.52,0.0,0.0,2351.59,0
49213,49213,M,35,Privada,5576.2,671.53,0.0,0.0,6859.1,1
56754,56754,M,30,Autônomo,5491.0,756.27,0.0,0.0,2893.82,0
55322,55322,F,32,Pública,5436.0,593.93,0.0,0.0,1025.04,0
75825,75825,M,35,Privada,5891.0,1168.81,17579.66,10233.97,0.0,0
40487,40487,M,30,Privada,5576.0,1094.01,0.0,0.0,4864.84,0
64797,64797,M,31,Privada,5561.5,518.11,0.0,0.0,2145.78,1
73880,73880,M,29,Pública,5427.0,876.01,0.0,0.0,0.0,0
74898,74898,M,35,Privada,5623.0,745.65,0.0,0.0,4592.65,0
11325,11325,F,27,Pública,5105.0,605.02,0.0,0.0,1769.06,0
69060,69060,M,36,Privada,5948.6,460.94,0.0,0.0,3400.61,1
55081,55081,M,37,Autônomo,5887.84,816.75,0.0,0.0,5238.42,1
77383,77383,M,34,Privada,5799.0,1078.18,0.0,0.0,4752.2,0
79935,79935,M,37,Privada,5988.78,556.72,0.0,0.0,3925.43,1
78516,78516,F,29,Privada,5215.56,534.75,0.0,0.0,5345.6,1
82045,82045,F,29,Autônomo,4651.0,925.54,14200.66,11024.89,0.0,0
70240,70240,M,31,Autônomo,5240.06,541.03,0.0,0.0,3078.75,1
697,697,M,33,Privada,5744.76,677.05,0.0,0.0,4173.36,1
43500,43500,F,26,Autônomo,4520.0,525.82,0.0,0.0,1162.66,0
70156,70156,M,34,Privada,5639.0,833.95,0.0,0.0,2309.92,0
49002,49002,F,30,Privada,5002.9,775.78,0.0,0.0,4691.08,1
52752,52752,F,28,Privada,5266.0,561.58,0.0,0.0,1849.76,0
3646,3646,F,29,Pública,4944.1,384.98,0.0,0.0,2554.66,1
32747,32747,M,33,Pública,5552.0,626.5,16764.89,7378.69,0.0,0
43816,43816,M,32,Autônomo,5310.0,811.83,16061.38,12463.86,0.0,0
99535,99535,M,33,Privada,5835.0,1078.27,0.0,0.0,3667.9,0
52578,52578,F,29,Privada,5259.0,593.33,0.0,0.0,4905.03,0
49479,49479,F,29,Autônomo,4935.0,679.38,0.0,0.0,2316.4,0
1039,1039,M,32,Privada,5731.04,481.15,0.0,0.0,5481.49,1
40876,40876,M,33,Privada,5576.0,945.95,0.0,0.0,0.0,0
33517,33517,M,33,Privada,6260.0,1198.15,0.0,0.0,965.91,0
19041,19041,F,31,Pública,5338.0,703.69,0.0,0.0,0.0,0
52384,52384,M,33,Privada,5782.0,864.28,17285.84,9007.24,0.0,0
49946,49946,M,30,Privada,5615.0,1277.38,0.0,0.0,2861.9,0
78735,78735,M,30,Pública,5517.0,723.35,0.0,0.0,3111.36,0
24685,24685,F,31,Privada,5248.0,719.75,15997.32,18315.99,0.0,0
50517,50517,M,38,Privada,5665.0,933.79,0.0,0.0,4873.49,0
95019,95019,M,34,Privada,5923.0,885.11,17775.66,11332.27,0.0,0
52999,52999,M,35,Privada,6379.0,858.89,0.0,0.0,2143.27,0
51245,51245,M,27,Pública,5466.0,847.53,0.0,0.0,706.04,0
82251,82251,F,25,Autônomo,4552.1,567.62,0.0,0.0,3201.37,1
24203,24203,F,33,Privada,5576.0,948.33,0.0,0.0,1541.75,0
39686,39686,F,26,Autônomo,4834.0,613.43,14671.68,12289.74,0.0,0
51149,51149,F,31,Privada,5987.0,678.92,17845.88,12369.92,0.0,0
34373,34373,M,35,Privada,5942.0,910.27,17994.18,8714.67,0.0,0
42320,42320,M,33,Privada,5835.0,900.73,0.0,0.0,3322.66,0
39307,39307,F,29,Pública,4999.0,646.3,0.0,0.0,2079.6,0
4501,4501,M,35,Privada,6091.0,832.17,0.0,0.0,4787.83,0
64451,64451,M,29,Pública,5277.0,526.8,0.0,0.0,2445.12,0
12706,12706,F,30,Privada,5038.0,775.61,14865.95,13872.31,0.0,0
92656,92656,F,30,Privada,5177.0,753.14,0.0,0.0,2959.61,0
86705,86705,M,33,Privada,5570.0,726.96,0.0,0.0,2202.58,0
37999,37999,M,35,Privada,6393.0,1422.07,19038.95,11641.21,0.0,0
13119,13119,F,26,Autônomo,4501.0,147.72,0.0,0.0,595.86,0
9984,9984,F,35,Privada,5758.0,562.3,0.0,0.0,3244.95,0
74597,74597,F,30,Autônomo,4856.88,447.4,0.0,0.0,3318.65,1
79103,79103,F,30,Privada,5322.0,712.34,0.0,0.0,3680.22,0
46232,46232,M,32,Privada,5574.0,833.59,0.0,0.0,6677.75,0
86969,86969,F,28,Pública,5100.9,547.06,0.0,0.0,6807.9,1
88867,88867,M,32,Privada,5608.0,681.11,16698.37,11390.16,0.0,0
44592,44592,M,35,Privada,5715.0,883.99,0.0,0.0,1872.15,0
97940,97940,M,30,Autônomo,5127.0,421.93,0.0,0.0,1494.65,0
68317,68317,M,30,Privada,5557.0,581.72,0.0,0.0,2092.15,0
42117,42117,M,34,Autônomo,5496.82,896.48,0.0,0.0,3365.48,1
7982,7982,F,30,Privada,5308.0,474.76,0.0,0.0,2560.07,0
83061,83061,F,28,Autônomo,4880.0,840.42,0.0,0.0,12.73,0
20804,20804,F,32,Privada,5469.38,596.62,0.0,0.0,4357.28,1
19323,19323,F,30,Privada,5106.0,422.18,0.0,0.0,3703.54,0
98499,98499,F,29,Pública,5203.0,850.92,0.0,0.0,1413.95,0
79133,79133,M,34,Privada,5660.0,849.15,0.0,0.0,1620.71,0
19746,19746,M,32,Privada,5736.0,638.37,0.0,0.0,4714.08,0
34831,34831,F,34,Privada,5671.0,717.51,16652.43,12494.4,0.0,0
5408,5408,M,34,Privada,5719.0,760.12,0.0,0.0,2954.98,0
69523,69523,F,29,Privada,5064.0,875.36,0.0,0.0,4909.14,0
79460,79460,M,30,Pública,5380.0,900.46,0.0,0.0,5174.6,0
8228,8228,M,32,Privada,5538.96,553.53,0.0,0.0,5524.02,1
20102,20102,M,33,Privada,5604.0,1072.05,16774.87,12269.26,0.0,0
79660,79660,M,31,Pública,5465.0,1142.57,16291.98,9665.21,0.0,0
26355,26355,M,34,Privada,6113.0,953.84,18351.31,18125.98,0.0,0
32925,32925,M,35,Privada,5805.0,1060.02,0.0,0.0,3600.37,0
92612,92612,M,37,Privada,6331.0,1451.83,0.0,0.0,226.21,0
68833,68833,M,34,Privada,5599.0,688.69,0.0,0.0,4376.62,0
87117,87117,M,32,Privada,5618.0,777.09,0.0,0.0,2729.94,0
47442,47442,F,32,Privada,5236.0,1244.95,0.0,0.0,2242.66,0
53024,53024,F,28,Autônomo,4386.48,378.94,0.0,0.0,4259.67,1
76742,76742,F,31,Autônomo,4997.0,386.05,0.0,0.0,2592.11,0
30351,30351,M,35,Privada,5887.0,652.18,0.0,0.0,3107.27,0
59765,59765,M,32,Privada,5847.0,1011.25,0.0,0.0,2697.74,0
97195,97195,M,37,Privada,6326.0,1072.33,19199.19,8646.06,0.0,0
42122,42122,F,29,Privada,5474.0,960.92,0.0,0.0,1584.31,0
3720,3720,M,37,Privada,5892.0,852.78,0.0,0.0,1735.94,0
41683,41683,M,31,Privada,5749.0,940.82,17242.39,8525.59,0.0,0
7406,7406,M,29,Pública,5566.0,761.26,0.0,0.0,3527.19,0
41535,41535,M,34,Privada,5687.92,1094.32,0.0,0.0,7254.81,1
17521,17521,F,30,Pública,5091.0,1231.77,0.0,0.0,0.0,0
51427,51427,F,23,Autônomo,4513.88,372.89,0.0,0.0,3084.81,1
56158,56158,F,30,Privada,5092.08,533.36,0.0,0.0,4085.79,1
53258,53258,F,32,Autônomo,4937.24,541.65,0.0,0.0,5965.87,1
57291,57291,M,37,Privada,6376.0,1495.01,0.0,0.0,4307.78,0
23801,23801,M,35,Privada,6170.0,832.12,0.0,0.0,3917.81,0
68624,68624,M,31,Privada,5680.0,1001.04,0.0,0.0,4892.71,0
51871,51871,F,32,Pública,5319.0,642.36,0.0,0.0,4105.82,0
24088,24088,F,39,Privada,6338.0,1201.07,0.0,0.0,2209.36,0
99207,99207,F,26,Pública,5179.0,698.6,0.0,0.0,3155.05,0
66408,66408,M,32,Privada,5523.28,369.06,0.0,0.0,4848.73,1
79237,79237,M,32,Privada,5697.0,910.25,0.0,0.0,3726.58,0
49994,49994,F,27,Privada,5088.0,932.73,0.0,0.0,1510.03,0
4586,4586,F,30,Pública,5257.0,1256.44,15457.12,7427.8,0.0,0
39981,39981,M,35,Privada,5956.0,1091.09,0.0,0.0,4440.7,0
68164,68164,F,27,Autônomo,4677.54,571.07,0.0,0.0,1287.43,1
87529,87529,M,34,Privada,6115.0,936.9,18609.26,13898.87,0.0,0
23180,23180,F,32,Privada,5279.0,819.96,15584.31,6326.86,0.0,0
5758,5758,M,35,Pública,5825.0,900.09,0.0,0.0,2738.61,0
62399,62399,F,34,Privada,5273.38,453.12,0.0,0.0,2149.17,1
247,247,M,37,Privada,6063.0,986.32,0.0,0.0,4810.65,0
21760,21760,F,29,Autônomo,5262.0,719.43,0.0,0.0,2737.0,0
15262,15262,M,33,Privada,5520.34,624.37,0.0,0.0,1583.29,1
83530,83530,M,32,Privada,5697.0,772.15,16629.61,12889.06,0.0,0
81889,81889,M,31,Autônomo,5310.62,300.46,0.0,0.0,5174.33,1
70873,70873,M,33,Privada,5663.0,1133.3,0.0,0.0,1044.47,0
14519,14519,F,30,Privada,5313.0,911.37,0.0,0.0,4201.75,0
61139,61139,M,34,Privada,5695.0,830.57,0.0,0.0,2575.53,0
62577,62577,M,33,Privada,5693.0,959.43,17052.07,13268.74,0.0,0
47399,47399,F,26,Autônomo,4839.0,528.61,0.0,0.0,1522.48,0
81482,81482,M,29,Pública,5183.0,571.03,0.0,0.0,1560.63,0
27769,27769,M,30,Pública,5390.0,973.92,0.0,0.0,5034.0,0
82764,82764,M,38,Privada,5786.0,939.8,17336.2,9635.04,0.0,0
62908,62908,F,33,Privada,5759.0,1073.48,17261.07,12538.21,0.0,0
14798,14798,M,29,Autônomo,5225.36,367.2,0.0,0.0,6018.74,1
70782,70782,M,31,Privada,5605.0,970.1,0.0,0.0,4050.93,0
72884,72884,M,32,Privada,5845.0,760.95,0.0,0.0,3691.37,0
18957,18957,F,31,Privada,5691.0,1177.93,0.0,0.0,3480.32,0
33360,33360,M,32,Privada,5703.6,617.29,0.0,0.0,6702.55,1
15508,15508,F,26,Privada,5055.0,370.21,0.0,0.0,1899.81,0
84474,84474,F,36,Privada,6427.0,1204.95,0.0,0.0,4559.7,0
85067,85067,F,29,Privada,4987.0,733.11,0.0,0.0,3189.42,0
65832,65832,M,38,Privada,6025.04,733.66,0.0,0.0,5784.89,1
10146,10146,M,31,Pública,5615.0,534.01,0.0,0.0,1595.59,0
82181,82181,M,35,Privada,5915.0,1044.21,0.0,0.0,5104.68,0
86896,86896,M,37,Privada,5735.94,538.68,0.0,0.0,3596.4,1
41577,41577,M,32,Privada,5682.0,1303.41,0.0,0.0,3812.36,0
41787,41787,F,32,Pública,5347.0,670.83,0.0,0.0,4138.17,0
90935,90935,M,36,Privada,5936.84,716.84,0.0,0.0,7340.69,1
43791,43791,M,32,Privada,5454.68,732.33,0.0,0.0,1704.08,1
25531,25531,F,30,Privada,5436.0,889.12,0.0,0.0,3228.87,0
65900,65900,F,29,Autônomo,4857.0,670.48,0.0,0.0,1772.99,0
17303,17303,M,35,Privada,5564.0,647.53,0.0,0.0,3021.33,0
19261,19261,M,35,Privada,5887.0,1145.99,0.0,0.0,1769.2,0
69195,69195,F,31,Autônomo,5310.0,630.52,0.0,0.0,4716.25,0
78754,78754,F,35,Privada,6020.14,822.02,0.0,0.0,5127.45,1
76171,76171,M,36,Privada,5943.0,1325.15,0.0,0.0,2594.26,0
50702,50702,M,31,Privada,5388.04,482.47,0.0,0.0,1977.81,1
54212,54212,M,31,Privada,5465.0,745.31,0.0,0.0,3013.16,0
6842,6842,M,32,Privada,5537.0,706.77,0.0,0.0,6795.03,1
83338,83338,M,30,Privada,5630.0,1104.54,16850.58,14190.05,0.0,0
7624,7624,M,32,Privada,6003.0,1072.1,18260.68,12107.03,0.0,0
63780,63780,F,26,Autônomo,4651.08,313.98,0.0,0.0,528.77,1
54256,54256,M,33,Privada,5565.0,820.64,0.0,0.0,3491.29,0
61472,61472,M,35,Privada,6113.0,1050.89,0.0,0.0,6163.73,0
32428,32428,F,32,Autônomo,5559.0,1096.52,0.0,0.0,2608.27,0
27095,27095,F,33,Privada,5786.0,617.76,0.0,0.0,3404.38,0
38715,38715,F,34,Privada,5561.5,578.42,0.0,0.0,3969.88,1
9395,9395,F,28,Privada,5033.28,435.71,0.0,0.0,6056.66,1
90326,90326,M,41,Privada,6760.0,1402.18,20251.64,17843.44,0.0,0
9832,9832,M,33,Privada,5673.0,400.34,16797.8,8693.78,0.0,0
87972,87972,M,34,Privada,5735.0,792.22,17019.09,7848.59,0.0,0
12471,12471,F,24,Autônomo,4465.0,124.31,0.0,0.0,2254.37,0
39502,39502,M,33,Privada,5622.26,504.76,0.0,0.0,5746.05,1
35594,35594,M,39,Privada,6355.0,842.4,18981.0,16582.93,0.0,0
61990,61990,F,31,Autônomo,5407.0,825.35,0.0,0.0,0.0,0
2689,2689,M,33,Privada,5458.6,528.22,0.0,0.0,5261.58,1
75232,75232,M,33,Autônomo,5362.56,390.79,0.0,0.0,5316.69,1
58596,58596,F,35,Privada,5982.0,929.24,0.0,0.0,1041.13,0
93026,93026,M,31,Privada,5569.0,945.25,0.0,0.0,1071.92,0
76607,76607,M,37,Privada,6161.0,973.89,0.0,0.0,4988.81,0
42808,42808,M,31,Pública,5434.0,629.35,0.0,0.0,4361.16,0
24056,24056,M,28,Privada,5508.0,883.85,0.0,0.0,0.0,0
51866,51866,F,30,Pública,5060.0,584.59,0.0,0.0,3640.62,0
92776,92776,F,33,Pública,5531.0,976.61,0.0,0.0,3103.18,0
88908,88908,M,36,Privada,5840.8,618.01,0.0,0.0,1694.21,1
74914,74914,F,29,Pública,5206.0,599.26,0.0,0.0,4563.81,0
30439,30439,M,38,Privada,5568.36,747.06,0.0,0.0,5141.85,1
75001,75001,M,30,Pública,5260.0,480.14,0.0,0.0,1146.88,0
49446,49446,F,30,Privada,5352.0,861.39,0.0,0.0,3363.78,0
76159,76159,M,31,Privada,5605.0,624.42,0.0,0.0,6047.23,0
64101,64101,F,30,Privada,4866.68,451.3,0.0,0.0,2848.11,1
68333,68333,M,27,Autônomo,4880.0,554.06,14798.48,8234.17,0.0,0
69922,69922,M,29,Pública,5400.0,683.04,0.0,0.0,1458.69,0
23930,23930,M,31,Pública,5227.0,459.26,0.0,0.0,4013.62,0
65968,65968,M,32,Privada,5440.96,1053.72,0.0,0.0,5364.78,1
43316,43316,F,28,Pública,5137.0,644.84,0.0,0.0,1074.67,0
24269,24269,M,33,Privada,5630.0,603.9,0.0,0.0,3238.32,0
74085,74085,M,31,Pública,5253.0,706.62,15881.86,8399.71,0.0,0
17956,17956,F,30,Privada,5343.0,501.38,0.0,0.0,1520.69,0
37792,37792,F,32,Privada,5729.0,959.68,0.0,0.0,3125.52,0
60598,60598,M,36,Privada,6186.74,971.25,0.0,0.0,4930.68,1
11772,11772,M,31,Pública,5358.0,726.28,0.0,0.0,3892.91,0
7430,7430,F,28,Pública,5096.98,517.22,0.0,0.0,3560.72,1
82757,82757,M,35,Privada,5624.22,653.06,0.0,0.0,1888.04,1
63803,63803,M,31,Privada,5485.0,831.2,16624.99,8912.13,0.0,0
8578,8578,M,34,Autônomo,5712.0,1368.52,0.0,0.0,5016.64,0
19718,19718,F,29,Privada,5224.0,782.15,0.0,0.0,28.02,0
49518,49518,M,33,Privada,5548.0,895.65,0.0,0.0,1166.13,0
92009,92009,F,31,Privada,5342.0,877.61,0.0,0.0,0.0,0
62875,62875,F,28,Pública,5110.0,489.63,0.0,0.0,0.0,0
9386,9386,M,40,Privada,6390.0,821.99,0.0,0.0,4715.09,0
78458,78458,M,37,Privada,6204.0,1298.49,0.0,0.0,6341.7,0
90856,90856,F,29,Autônomo,4860.8,288.64,0.0,0.0,3334.39,1
84870,84870,M,32,Pública,5608.0,649.35,0.0,0.0,2033.65,0
55596,55596,F,28,Pública,5023.0,623.25,0.0,0.0,2764.29,0
78470,78470,F,28,Privada,4953.0,873.48,0.0,0.0,2797.42,0
27399,27399,M,34,Autônomo,5958.4,864.07,0.0,0.0,3918.5,1
74241,74241,M,33,Privada,5808.0,848.28,0.0,0.0,4406.66,0
18956,18956,F,29,Pública,5183.0,726.58,0.0,0.0,3309.79,0
42938,42938,M,39,Privada,6266.0,1577.63,0.0,0.0,2838.52,0
24845,24845,F,31,Privada,5251.82,610.1,0.0,0.0,2082.08,1
38016,38016,M,36,Privada,5742.0,1107.66,0.0,0.0,0.0,0
70161,70161,M,34,Privada,5566.0,755.26,0.0,0.0,1328.16,0
99223,99223,M,31,Pública,5336.1,392.4,0.0,0.0,5450.27,1
13404,13404,F,29,Privada,5053.86,668.55,0.0,0.0,6285.76,1
47687,47687,M,32,Privada,5842.0,861.29,0.0,0.0,1575.34,0
74302,74302,F,30,Privada,5126.0,113.02,0.0,0.0,1542.72,0
28263,28263,F,30,Pública,5051.0,634.48,0.0,0.0,4187.37,0
192,192,M,34,Pública,5616.0,941.06,0.0,0.0,5356.18,0
87751,87751,M,38,Privada,6175.96,724.68,0.0,0.0,4068.66,1
72875,72875,M,32,Privada,5593.0,997.14,17039.53,7345.3,0.0,0
44815,44815,M,32,Pública,5398.0,742.88,0.0,0.0,2719.2,0
12939,12939,F,32,Privada,5097.0,526.51,0.0,0.0,1370.17,0
26532,26532,M,32,Privada,5605.6,824.42,0.0,0.0,4255.98,1
99601,99601,M,36,Privada,6129.0,1009.34,0.0,0.0,2170.61,0
